match	kind	time_s	verdict
Gavin	gained	87.26	warmup
Gavin	gained	419.72	real
Gavin	gained	792.62	real
Gavin	gained	1100.39	real
Gavin	gained	1337.02	real
Gavin	gained	1526.72	real
Gavin	lost	73.06	warmup
Gavin	lost	554.32	real
Gavin	lost	999.79	real
Gavin	lost	1273.32	real
Gavin	lost	1444.72	real
Gavin	lost	1487.86	midrally
Sajan	gained	35.92	real
Sajan	gained	194.22	real
Sajan	gained	251.02	real
Sajan	gained	301.96	real
Sajan	gained	677.22	real
Sajan	gained	947.29	no
Sajan	lost	420.39	real
Sajan	lost	614.69	real
Sajan	lost	649.42	real
Sajan	lost	667.32	real
