match	kind	point	verdict
Adil / Anton m1 (02 Sep, 87 cards)	likely	2	no
Adil / Anton m1 (02 Sep, 87 cards)	likely	82	no
Adil / Anton m2 (02 Sep, 89 cards)	likely	4	no
Adil / Anton m2 (02 Sep, 89 cards)	likely	7	no
Adil / Anton m2 (02 Sep, 89 cards)	likely	65	no
Adil / Anton m3 (02 Sep, 63 cards)	likely	2	no
Adil / Anton m3 (02 Sep, 63 cards)	likely	7	no
Adil / Anton m3 (02 Sep, 63 cards)	likely	9	no
Adil / Anton m3 (02 Sep, 63 cards)	likely	21	no
Adil / Anton m4 (02 Sep, 69 cards)	likely	4	real
Adil / Anton m4 (02 Sep, 69 cards)	likely	8	no
Adil / Anton m4 (02 Sep, 69 cards)	likely	24	no
Adil / Anton m4 (02 Sep, 69 cards)	confirmed	65	real
Adil / Anton m5 (02 Sep, 93 cards)	likely	16	no
Adil / Anton m5 (02 Sep, 93 cards)	likely	20	no
Adil / Anton m5 (02 Sep, 93 cards)	likely	43	no
Adil / Anton m5 (02 Sep, 93 cards)	likely	53	no
Adil / Anton m5 (02 Sep, 93 cards)	likely	57	real
Adil / Anton m5 (02 Sep, 93 cards)	likely	70	no
Adil / Anton m5 (02 Sep, 93 cards)	likely	74	real
Adil / Anton m5 (02 Sep, 93 cards)	likely	91	no
Adil / Anton m6 (02 Sep, 34 cards)	likely	15	no
Adil / Anton m6 (02 Sep, 34 cards)	confirmed	17	real
Adil / Anton m6 (02 Sep, 34 cards)	likely	29	no
Adil / Chris (22 Aug, 50 cards)	likely	13	real
Adil / Chris (22 Aug, 50 cards)	likely	31	real
Adil / Jose Suarez (29 Aug, 75 cards)	confirmed	6	no
Adil / Jose Suarez (29 Aug, 75 cards)	likely	7	no
Adil / Jose Suarez (29 Aug, 75 cards)	confirmed	11	no
Adil / Jose Suarez (29 Aug, 75 cards)	likely	27	no
Adil / Jose Suarez (29 Aug, 75 cards)	likely	33	no
Adil / Jose Suarez (29 Aug, 75 cards)	likely	41	no
Adil / Jose Suarez (cropped) (01 Sep, 95 cards)	likely	2	unsure
Adil / Jose Suarez (cropped) (01 Sep, 95 cards)	confirmed	18	no
Adil / Jose Suarez (cropped) (01 Sep, 95 cards)	confirmed	20	no
Adil / Jose Suarez (cropped) (01 Sep, 95 cards)	likely	52	no
Adil / Julian (23 Aug, 39 cards)	likely	15	no
Adil / Julian (23 Aug, 39 cards)	likely	19	no
Adil / Julian (23 Aug, 39 cards)	likely	24	no
Adil / Julian (23 Aug, 39 cards)	likely	31	no
Adil / Julian (23 Aug, 65 cards)	likely	3	no
Adil / Julian (23 Aug, 65 cards)	likely	13	no
Adil / Julian (23 Aug, 65 cards)	likely	14	no
Adil / Julian (23 Aug, 65 cards)	likely	17	no
Adil / Julian (23 Aug, 65 cards)	likely	19	real
Adil / Julian (23 Aug, 65 cards)	likely	23	no
Adil / Julian (23 Aug, 65 cards)	likely	25	no
Adil / Julian (23 Aug, 65 cards)	likely	34	no
Adil / Julian (23 Aug, 65 cards)	likely	63	no
Adil / Julian (23 Aug, 79 cards)	likely	77	no
Adil / Kyle (cropped) (31 Aug, 70 cards)	likely	4	no
Adil / Kyle (cropped) (31 Aug, 70 cards)	likely	8	real
Adil / Kyle (cropped) (31 Aug, 70 cards)	likely	18	no
Adil / Kyle (cropped) (31 Aug, 70 cards)	confirmed	33	no
Adil / Kyle (cropped) (31 Aug, 70 cards)	confirmed	52	no
Adil / Kyle (cropped) (31 Aug, 70 cards)	likely	57	no
Adil / Lester 2 (28 Aug, 127 cards)	likely	97	no
Adil / Lester crop test (01 Sep, 124 cards)	confirmed	13	no
Adil / Lester crop test (01 Sep, 124 cards)	confirmed	24	no
Adil / Lester crop test (01 Sep, 124 cards)	likely	59	no
Adil / Lester crop test (01 Sep, 124 cards)	likely	99	no
Adil / Louis (29 Aug, 142 cards)	likely	20	real
Adil / Young 2 (31 Aug, 99 cards)	likely	6	no
Adil / Young 2 (31 Aug, 99 cards)	likely	13	no
Adil / Young 2 (31 Aug, 99 cards)	likely	41	no
Adil / Young 2 (31 Aug, 99 cards)	likely	47	no
Adil / Young 2 (31 Aug, 99 cards)	likely	48	no
Adil / Young 2 (31 Aug, 99 cards)	likely	73	no
Adil / Young 2 (31 Aug, 99 cards)	likely	75	no
Adil / Young 2 (31 Aug, 99 cards)	likely	88	no
Adil / zz delete - Anton m3 (no crop) (02 Sep, 56 cards)	likely	2	no
Adil / zz delete - Anton m3 (no crop) (02 Sep, 56 cards)	likely	48	no
Anton / untitled (26 Aug, 33 cards)	confirmed	7	no
Anton / untitled (26 Aug, 33 cards)	confirmed	23	no
Anton / untitled (26 Aug, 71 cards)	likely	24	no
Anton / untitled (26 Aug, 71 cards)	likely	60	real
Anton / untitled (26 Aug, 81 cards)	likely	13	real
Anton / untitled (26 Aug, 81 cards)	likely	18	real
Anton / untitled (26 Aug, 81 cards)	likely	29	no
Anton / untitled (26 Aug, 81 cards)	likely	32	no
Anton / untitled (26 Aug, 81 cards)	likely	36	no
Anton / untitled (26 Aug, 81 cards)	likely	58	real
Anton / untitled (26 Aug, 81 cards)	likely	61	real
Anton / untitled (26 Aug, 81 cards)	likely	63	no
Anton / untitled (27 Aug, 58 cards)	likely	2	no
Anton / untitled (27 Aug, 58 cards)	likely	38	real
Anton / untitled (27 Aug, 58 cards)	likely	49	real
Anton / untitled (27 Aug, 92 cards)	likely	30	no
Anton / untitled (27 Aug, 92 cards)	confirmed	42	no
Anton / untitled (27 Aug, 92 cards)	likely	63	no
Gabriel / Mircea Neagu (02 Sep, 66 cards)	likely	19	real
Julian / Tomo (28 Aug, 71 cards)	likely	1	no
Julian / Tomo (28 Aug, 71 cards)	likely	22	no
Julian / Tomo (28 Aug, 71 cards)	likely	35	no
Julian / Tomo (28 Aug, 71 cards)	likely	53	no
Julian / Tomo (28 Aug, 71 cards)	likely	55	no
Julian / Tomo (28 Aug, 71 cards)	likely	56	no
Julian / Tomo (28 Aug, 71 cards)	likely	62	no
Julian / Tomo (28 Aug, 71 cards)	likely	64	no
Julian / Tomo (28 Aug, 71 cards)	likely	65	no
